Course Code,Course Title,Credits,Prerequisites,Co-requisites,Description,Learning Outcomes
AC 210,Survey of Accounting,3,MA 101.,,"This course is an introduction to financial accounting principles with exposure to basic accounting statements, processes, and management applications. This course is intended for students majoring in management.",Demonstrate understanding of key concepts in Survey of Accounting; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 211,Principles of Accounting I,3,MA 101.,,"This course includes accounting principles of sole proprietorship. It covers accounting cycle, specialized journals and financial statements.",Demonstrate understanding of key concepts in Principles of Accounting I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 212,Principles of Accounting II,3,AC 211.,,"This course includes accounting principles as they relate to partnership and corporations, financial statement analysis, introduction to cost accounting, use of accounting information for planning, control, and decision -making.",Demonstrate understanding of key concepts in Principles of Accounting II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
AC 311,Financial Accounting I,3,AC 212.,,"Topics include: recognition, measurement, and reporting of income, time value of money (applications of present value and future value techniques in accounting), cash and temporary investments, receivables, and inventory.",Demonstrate understanding of key concepts in Financial Accounting I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 312,Financial Accounting II,3,AC 311.,,"This course is a continuation of AC 311. It covers non- current assets, long term investments in equity securities, current and contingent liabilities, accounting for long term debt securities, contributed capital, retained earnings, earnings per share, a nd revenue recognition.",Demonstrate understanding of key concepts in Financial Accounting II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 313,Accounting for Management,3,AC 210.,,"This course includes cost accumulation for product, cost behavior, cost -volume -profit analysis, profit planning and budgeting, pricing and capital investment, and use of cost data for decision purposes. This course is intended for students majoring in mana gement.",Demonstrate understanding of key concepts in Accounting for Management; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
AC 322,Individual Income Taxation,3,AC 212,,"This course includes federal income tax provisions and procedures, gross income, deductions, credits against net income, tax liability, and preparation of tax returns.",Demonstrate understanding of key concepts in Individual Income Taxation; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 410,Managerial Accounting,3,AC 212.,,"This course includes cost accumulation for product, cost behavior, cost-volume -profit analysis, profit planning and budgeting, pricing and capital investment.",Demonstrate understanding of key concepts in Managerial Accounting; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
AC 411,Accounting Information Systems,3,AC 312.,,"This course includes the accounting information system, transaction processing, ethics, fraud and internal control, database management systems.",Demonstrate understanding of key concepts in Accounting Information Systems; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 412,Survey of Accounting,3,MA 101.,,"This course includes a survey of basic accounting principles, including accounting cycle, preparation of financial statements, and application of accounting principles to partnerships, corporations, and analysis of various financial statements.",Demonstrate understanding of key concepts in Survey of Accounting; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills; Enhance written and oral communication abilities
AC 414,Managerial and Cost Accounting,3,AC 311,,"This course explores principles of cost and managerial accounting for decisions making. Topics covered are procedures and by -product costing, spoi lage, master and flexible budgets, balanced scorecard, capital investments and decision making.",Demonstrate understanding of key concepts in Managerial and Cost Accounting; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 420,Financial Accounting III,3,AC 312,,"This course closes intermediate accounting. Topics covered are advanced revenue recognition issues, accounting for income taxes, pot -retirement benefits, leases, statement of cash flows, and accounting for changes and errors.",Demonstrate understanding of key concepts in Financial Accounting III; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 422,Corporate Income Taxation,3,AC 312,,"This course is a completion of Individual Income Taxation course. It addresses Federal income taxation of corporations and their shareholders with emphasis on the formation of the corporation, capital structure, operational alternatives, distributions, partial and complete liquidations, personal holding companies, and the accumulated earnings tax. Formation, operation, and liquidation of S -corporations are also covered.",Demonstrate understanding of key concepts in Corporate Income Taxation; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 430,Internal Auditing,3,AC 311 and AC 411,,"This course explores theory and practice of internal auditing and the application of internal auditing principles, emerging issues, and techniques to selected audit problems.",Demonstrate understanding of key concepts in Internal Auditing; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 440,External Auditing,3,AC 312,,"This course includes a study of auditing practices specified in official pronouncements, professional ethics, legal liability, internal control, and auditors' report.",Demonstrate understanding of key concepts in External Auditing; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 450,Governmental Accounting,3,AC 212.,,This course includes an examination of accounting theories and practice applied to governmental units and other not,Demonstrate understanding of key concepts in Governmental Accounting; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 485,Seminar in Financial Accounting Theory,3,None.,,"This course is a survey of current financial accounting theory. Topics include the nature of accounting theory, the historica l development of accounting, the FASB's Conceptual Framework project; and the influence of standard setting agencies on the economic consequences of financial reporting.",Demonstrate understanding of key concepts in Seminar in Financial Accounting Theory; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AC 495,Advanced Corporate Finance,3,,,"This course introduces the necessary corporate finance concepts as a complement to the accounting and actuarial students and be competitive with peer universities, increase enrollment numbers and retention.",Demonstrate understanding of key concepts in Advanced Corporate Finance; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AR 101,Arabic Language I,3,,,"In this introductory course, students learn to listen, speak, write, and read at a beginning level. Students will become familiar with the Arabic script and sound system, develop a working vocabulary, learn rudimentary grammatical concepts, and practice conversational dialogues. Students learn Arabic letters in isolated and connected forms, begin creating simple sentences, and learn gender, plurals, pronouns, possession, geographic place names. Students will learn the counting system through the introduction of meaningful vocabulary. Students will expand their knowledge of Middle Eastern cultures.",Demonstrate understanding of key concepts in Arabic Language I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
AR 102,Arabic Language II,3,,,"Students will increase their proficiency with the Arabic script and sound system, widen their working vocabulary, learn key grammatical points, and practice conversation. At this level, students continue to refine their Arabic writing skills, develop the ability to read and understand sentence-level text, explore Arabic verb roots, study additional present and future tenses, practice dialogue exercises, increase their working vocabulary, and learn more in-depth grammar. Students will expand their knowledge of Middle Eastern cultures.",Demonstrate understanding of key concepts in Arabic Language II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ART 101,Introduction to Art Making: Foundations of two and three dimensional design,3,,,"This course will introduce the two - and three-dimensional design practices of art making. In this ""hands on"" course, students will work in a variety of media. For example: 2D works in drawing, collage and photography and 3D works in mixed media. This foundation class is a study of the basic principles and elements of representational and non- representational design. Student works will be exhibited. Field trips to sites such as art galleries, museums, studios will be included. No previous experience needed.",Demonstrate understanding of key concepts in Introduction to Art Making: Foundations of two and three dimensional design; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
ART 102,Multi -media Art,3,,,"ART 102 is a studio art course which focuses on an analytical approach to the art materials used for self-expression in the visual arts. Emphasis is placed on introducing the student to art media processes and techniques while learning to create works of art. ART 102 includes a variety of art media (painting, photography, sculpture and collage). An exhibition of students' works will be featured during the semester. No previous experience needed. BIOLOGY",Demonstrate understanding of key concepts in Multi -media Art; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 101,General Biology I,3,,,"An introductory course designed to fulfill the general education requirements of the College. Major topics discussed in the course include: the origin of life; the cell, its chemistry, morphology, and differentiation; basic physiology and anatomy of mammal s; and basic physiology an anatomy of vascular plants. Three lecture hours and a two -hour laboratory per week Co-requ isite: BY 101L.",Demonstrate understanding of key concepts in General Biology I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 101H,Honors General Biology I,3,,,"This course is designed to help undergraduate students understand the various aspects of biology. Major topics discussed include: the scientific method; the cell and its chemistry; photosynthesis and cellular respiration, the chemical composition of the human body, the nervous system, circulation, respiration, reproduction, the endocrine system, and nutrition. In addition to these t opics, this course will discuss human diseases and pathology.",Demonstrate understanding of key concepts in Honors General Biology I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 101L,H - Honors General Biology Lab I,1,,,The student will conduct field and laboratory exercises to provide scientific literacy. It is essential that each student understand the scientific method to when completing laboratory reports. Assignments are graded equally on quality of answers and application of the scientific method and scientific paper format.,Demonstrate understanding of key concepts in H - Honors General Biology Lab I; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 201,General Biology II,3,BY 101.,BY 201L,Designed to give a stronger background in the biological sciences. The course reviews basic principles presented in BY 101 but on a more detailed level. It covers additional topics receiving major emphasis including the diversity and the interaction of living things with the environment. Thr ee lecture hours and a two -hour laboratory per week.,Demonstrate understanding of key concepts in General Biology II; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 201L,General Biology II Lab,1,MA 101,,"Lab component to accompany corresponding course. MAED 107. Mathematics for Education Majors I: Operations with Numbers: P-2 3 Credit Hours Course One of four concentrated learning experiences for elementary teacher candidates that develop their deep knowledge of elementary mathematics content, focusing on operations with numbers P-2. Should be taken during last semester of sophomore year. Field experience required.",Demonstrate understanding of key concepts in General Biology II Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 202,Botany,3,BY 101.,,"The study of growth and development of plants: their microscopic structures, physiology, and diversity, with emphasis on vascular plants. Thr ee lecture hours and a two -hour laboratory per week.",Demonstrate understanding of key concepts in Botany; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 202L,Botany Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Botany Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 205,Microbiology,3,BY 101.,,"This course involves the study of microorganisms with emphasis on bacteria, fungi, and viruses; their structure and function; ecology; significance to man and his he alth; and host defense mechanisms. Three lecture hours and a two- hour laboratory per week.",Demonstrate understanding of key concepts in Microbiology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 205L,Microbiology Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Microbiology Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 207,Human Anatomy,3,BY 101.,,"This course is the study of the gross and microscopic structure of the huma n body, the anatomy of the skeletal, muscular, circulatory, and nervous systems with emphasis on the functional aspects. It involves demonstrations and laboratory study of human tissue and mammalian dissection. Three lecture hours and a two- hour laboratory per week.",Demonstrate understanding of key concepts in Human Anatomy; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 207L,Human Anatomy Lab,1,,,Lab component to accompany corresponding course.,Demonstrate understanding of key concepts in Human Anatomy Lab; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills
BY 210,"Zoology 3 C redit Hours The study of the means by which multi -celled organisms solve their peculiar problems of life, principles of classification and phylogenetics, evolution, reproduction, and behavior population. Three lecture hours and a two- hour laboratory per we ek. Prerequisite: BY 101. BY 302 - Cell Biology",3,BY 101.,,"The cell as a basic unit of life. It covers discussion of the origin of life, classification, genetics, and metabolism leading to an integrated understanding of the relationship between chemis try and biology. It also covers the structure and function of biomolecules, cytoskeletons. Three lecture hours and a two- hour laboratory per week.","Demonstrate understanding of key concepts in Zoology 3 C redit Hours The study of the means by which multi -celled organisms solve their peculiar problems of life, principles of classification and phylogenetics, evolution, reproduction, and behavior population. Three lecture hours and a two- hour laboratory per we ek. Prerequisite: BY 101. BY 302 - Cell Biology; Apply theoretical knowledge to practical scenarios; Develop critical thinking and problem-solving skills"
